股票代码,股息率_L12M_派息日,股本回报率_Y,收入增长_L4Q,流动比率_L4Q,对数流通市值,换手率_30D,动量_9M_调整,盈利收益_L4Q,波动率_250D
601898,0.01902,0.05746,0.2332,0.78589,1.4927,0.00131,-0.06424,0.15842 ,0.016012
601899,0.02623,0.11029,0.30616,0.81464,2.399,0.01171,0.25909,0.04954 ,0.021755
601901,0,0.0177,-0.01204,--,0.88861,0.00379,0.10069,0.02108 ,0.02401
601919,0,0.06049,0.06642,0.81649,1.48963,0.00201,-0.12734,0.08882 ,0.022789
601933,0.01157,0.05007,0.22261,1.07582,3.82113,0.00858,-0.1208,0.01950 ,0.02082
601939,0.04842,0.14091,0.11252,--,0.21311,0.01256,-0.05923,0.16971 ,0.011495
601985,0.02703,0.10591,0.16309,1.00851,2.54216,0.0019,-0.12961,0.12079 ,0.012912
601988,0.05257,0.12405,0.11954,--,1.592,0.00049,-0.04763,0.19501 ,0.008173
601989,0.00215,-0.00215,-0.29906,1.88005,2.31775,0.00342,-0.13788,0.00291 ,0.023315
601992,0.01618,0.05742,0.09922,1.40394,1.76197,0.0068,-0.09597,0.14476 ,0.01952
601997,0.03672,0.18515,0.31563,--,-0.30101,0.00558,-0.03343,0.23383 ,0.015341
601998,0.04398,0.11407,0.22079,--,0.77177,0.00084,-0.03702,0.19321 ,0.011622
603019,0.00208,0.12492,0.05934,1.59202,2.14146,0.04271,0.19729,0.01293 ,0.032495
603156,0.08658,0.29633,-0.10589,5.51236,0.6454,0.00297,-0.30254,0.10830 ,0.021811
603160,0.00188,0.19557,0.83366,3.52268,2.65494,0.01078,1.74369,0.01754 ,0.037401
603259,0.00446,0.18742,0.34723,2.66832,2.57627,0.01955,0.83613,0.01428 ,0.024206
603260,0.02232,0.42265,-0.36564,0.73188,0.51939,0.00758,-0.11801,0.05808 ,0.021272
603288,0.0098,0.34046,0.16854,3.01042,2.61065,0.00321,0.00718,0.01877 ,0.019167
603501,0.00065,0.08161,2.03985,1.0309,1.25624,0.04067,2.88462,0.00010 ,0.040798
603799,0.00238,0.21048,0.49489,1.04412,1.74249,0.03827,1.20432,-0.00823 ,0.035685
603833,0.00813,0.22802,0.20103,1.39434,1.22231,0.02883,0.14659,0.04513 ,0.02349
603899,0.00691,0.25203,0.33024,1.92574,2.87282,0.00411,0.09631,0.02479 ,0.021512
603986,0.00092,0.22109,0.62968,3.15478,2.28765,0.03764,3.03322,0.00553 ,0.041979
603993,0.03073,0.10785,2.88949,1.84421,2.35018,0.00616,0.16837,0.02134 ,0.025864
