股票代码,股息率_L12M_派息日,股本回报率_Y,收入增长_L4Q,流动比率_L4Q,对数流通市值,换手率_30D,动量_9M_调整,盈利收益_L4Q,波动率_250D
002294,0.04592,0.22327,-0.0472,4.9868,1.08758,0.00241,-0.19058,0.05476 ,0.021417
002304,0.03832,0.25714,-0.20612,2.84259,1.95146,0.00409,-0.13887,0.06538 ,0.021626
002311,0.00862,0.19706,0.09851,1.2152,2.19308,0.01486,0.12358,0.03048 ,0.021373
002352,0.00464,0.1282,0.25504,1.17047,2.98307,0.00363,0.42963,0.02843 ,0.020032
002410,0.00487,0.13399,0.16848,1.81787,1.97357,0.00941,0.33662,0.00687 ,0.02553
002411,0,0.04509,0.23448,0.76248,0.87916,0.02368,-0.24778,0.02081 ,0.028363
002415,0.02064,0.33198,0.2312,2.51293,3.22335,0.00713,0.42213,0.04463 ,0.024884
002422,0.01004,0.10162,-0.09092,1.1538,1.25868,0.01972,-0.13997,0.03920 ,0.022404
002456,0,-0.05925,0.10984,0.9144,1.75343,0.04336,1.20776,-0.04112 ,0.038478
002460,0.00743,0.20364,0.10018,1.78854,1.68136,0.05243,1.46462,0.00854 ,0.031614
002466,0.00599,0.24848,-0.17815,0.77716,1.75479,0.03434,0.58484,0.03849 ,0.035963
002468,0.02959,0.26746,0.29673,1.7619,1.22377,0.00383,-0.16965,0.05989 ,0.024653
002475,0.00101,0.18388,0.62243,1.30574,3.10416,0.01983,1.56502,0.02050 ,0.032621
002493,0.00957,0.06396,-0.19305,0.65027,2.98415,0.00064,-0.09725,0.03154 ,0.01811
002508,0.0303,0.26059,0.10562,2.47444,1.2429,0.00907,0.21073,0.06257 ,0.025062
002555,0.00566,0.17185,0.56292,2.10557,2.45748,0.02511,1.60369,0.02132 ,0.031755
002558,0.00939,0.12762,-0.27286,5.03793,2.12026,0.00314,-0.01135,0.02467 ,0.019843
002594,0.00388,0.05895,-0.09167,1.01227,2.66837,0.013,0.22407,0.02307 ,0.025593
002601,0.04861,0.1787,0.05674,0.95131,2.23186,0.00723,0.16211,0.08191 ,0.026815
002602,0.00265,0.10132,0.71453,2.02179,2.17125,0.0282,0.2937,0.02463 ,0.023921
002607,0.00958,0.5652,0.61308,0.77116,1.51762,0.02315,0.40656,0.01218 ,0.027159
002624,0.00375,0.19445,0.16771,2.72186,2.57425,0.01859,0.81337,0.02978 ,0.028677
002673,0.00664,0.0115,0.8846,--,0.39283,0.00662,-0.11892,0.01261 ,0.021639
002714,0.00041,0.31291,1.01773,0.81088,2.99874,0.01844,0.80446,0.02463 ,0.035569
002736,0.01059,0.09034,0.14442,--,1.2104,0.00188,-0.09377,0.05289 ,0.023307
002739,0,0.1063,0.13919,0.85192,1.91905,0.0138,-0.12088,0.02475 ,0.026828
002773,0.0059,0.18222,0.11482,5.77659,1.28778,0.00844,0.01877,0.02318 ,0.026074
002841,0.00675,0.35105,0.00225,1.78063,1.46929,0.00478,0.16425,0.03029 ,0.023763
002916,0.00298,0.2827,0.26522,1.08509,1.17604,0.10162,1.4503,0.01732 ,0.035554
002938,0.01474,0.1837,0.0271,1.84386,0.48223,0.03856,0.72888,0.03713 ,0.033889
002939,0.01554,0.03784,--,--,0.13,0.02906,-0.11033,0.02163 ,0.032638
002945,0.00257,--,--,--,-0.33158,0.05083,-0.29847,0.00746 ,0.036999
002958,0.02913,0.11452,--,--,-1.47201,0.02399,-0.25252,0.09677 ,0.031788
300003,0.00449,0.18433,0.20174,1.24715,2.10049,0.00977,0.51297,0.02609 ,0.025362
300015,0.00426,0.1863,0.27237,1.36096,2.55627,0.01213,0.37999,0.01267 ,0.022935
300017,0.00367,0.09576,-0.1023,2.68008,1.33017,0.03248,-0.13051,0.04851 ,0.032971
300024,0,0.07387,-0.28333,2.64796,2.44547,0.01192,0.09833,0.01786 ,0.022593
300033,0.00425,0.24493,0.22826,3.74107,1.79111,0.03854,0.18799,0.01478 ,0.039706
300059,0.00099,0.06309,0.47728,1.5061,3.08266,0.04606,0.1412,0.01369 ,0.029208
300070,0.00395,0.06478,0.61941,0.91364,1.4413,0.02324,0.1602,0.03442 ,0.025655
